FSO_Att,Absolute Humidity,Wind Speed,Visibility,Time,Wind Speed Max,Temperature,Temperature Difference,Particulate,Distance,SYNOP Code
8.05110811,6.518370379,0.618588668,59926.56511,2,1.32299486,5.875740015,0.7,10.92697224,4827.053794,8
8.089484088,6.437529528,0.613533012,75003.74729,2,1.081506789,5.779235522,0.6,0,4821.881697,0
8.103201133,6.526349221,0.732030593,74999.2015,2,1.507020966,5.586269207,0.4,0,4823.567261,8
6.654874924,6.428662432,0.045597284,74997.9913,3,0.074850745,5.553354203,-0.1,0,4820.997203,0
5.885352918,6.453123593,0.150628105,62446.27299,3,0.240458263,5.715800256,0,14.87625856,4820.809384,6
6.656476464,6.390657419,0.1572178,31732.44502,3,0.282882521,5.648590335,-0.088,28.59998354,4824.063126,6
5.964380645,6.374796098,0.214161977,74954.53672,3,0.370573198,5.607109414,-0.1,5.056811809,4819.682702,6
6.083166849,6.347183644,0.086812836,75004.49959,3,0.164792732,5.731223829,-0.1,0,4826.452292,5
5.659846212,6.300956087,0.096927117,75000.82783,3,0.178122529,5.730576412,0,0,4823.985452,0
5.06824122,6.281904088,0.150499071,75001.04944,3,0.223061569,5.808027579,0.115,0,4823.631308,0
5.223877246,6.324018882,0.313994392,73975.80691,4,0.391493331,5.886085293,0.2,6.018754387,4826.041925,5
4.885965145,6.213776398,0.225631416,74997.18909,4,0.362709654,5.839045563,0.2,0,4823.984141,5
4.858318715,6.22217574,0.078468299,74998.38615,4,0.189327344,5.877895746,0.2,0,4819.419867,0
4.741490842,6.160765749,0.072746461,75003.71152,4,0.30261697,5.767837826,0.063,0,4827.27467,0
4.675886744,6.327121041,0.458191466,75000.78832,4,0.77631037,5.744786402,-0.077,0,4820.25079,0
4.609268316,6.145348932,0.202177025,75000.02705,4,0.50445272,5.795500276,-0.1,0,4825.912982,0
4.703146731,6.30509728,0.540455883,75002.18581,5,0.98570513,5.876521481,0.083,0,4826.114119,0
